restaurant_link,country,region,longitude,latitude,restaurant_name,count_awards
g672815-d2165659,Spain,Balearic Islands,1.518506,38.952465,Flippers,9
g186394-d1883989,United Kingdom,Tyne and Wear,-1.58184,54.984303,Butterfly Cabinet,9
g187801-d2461927,Italy,Emilia-Romagna,11.345594,44.495224,Caffe Terzi Bologna,9
g187502-d996274,Spain,Catalonia,1.806723,41.237244,Komokieras,9
g186406-d1723915,United Kingdom,West Sussex,-0.802989,50.810925,Potager Restaurant,9
g190744-d1699834,United Kingdom,Yorkshire,-0.402119,54.285072,Tikka Tikka,9
g504148-d2328935,United Kingdom,Staffordshire,-1.891444,52.972733,The Blacksmith Arms,9
g187792-d2479653,Italy,Lazio,12.798869,41.96303,"Viva l'Oste",9
g186337-d2485452,United Kingdom,Merseyside,-2.988863,53.406628,Shiraz BBQ,9
g187787-d1587229,Italy,Campania,14.030389,40.761677,Caracale,9
g186338-d2104410,United Kingdom,London,-0.176875,51.511513,The Swan,9
g187902-d1749280,Italy,Tuscany,11.331075,43.31848,Osteria La Mossa,9
g196666-d1335604,France,Pays de la Loire,-1.774789,46.49131,La Pilotine,9
g186332-d1944611,United Kingdom,Lancashire,-3.053075,53.818855,Sapori,9
g2027380-d2284372,Italy,Trentino-Alto Adige,11.141207,46.206543,La Cacciatora,9
g1986858-d2475525,Italy,Emilia-Romagna,12.643921,43.913994,Ristorante Pizzeria Il Borgo,9
g186338-d1497359,United Kingdom,London,-0.142076,51.49572,Il Posto,9
g186305-d730946,United Kingdom,Hertfordshire,-0.075397,51.796696,Lussmanns - Hertford,9
g1580954-d1112420,Italy,Emilia-Romagna,10.763381,44.27871,"Albergo Ristorante Ca' Cerfogli",9
g186338-d733338,United Kingdom,London,-0.193629,51.513935,Hafez Restaurant,9
g488301-d1907843,Italy,Tuscany,11.572214,43.529156,Ristorante Castellucci,9
g315948-d2315836,United Kingdom,Cornwall,-4.948941,50.561344,Rest A While Tea Garden,9
g1984485-d2073304,France,"Provence-Alpes-Cote d'Azur",7.051261,43.57867,Le Cafe du Coin,9
g187855-d1774507,Italy,Piedmont,7.677994,45.069717,Ristorante Solferino,9
g499571-d731569,United Kingdom,Derbyshire,-1.732166,53.017845,Thai Basement,9
g1932015-d1918401,Italy,Campania,15.06575,40.99982,La Pergola,9
g616163-d1880831,Greece,South Aegean,24.944393,37.444042,Kouzina,9
g1480277-d1990028,United Kingdom,Northumberland,-1.587823,55.332386,The Wellwood Arms,9
g187323-d2484796,Germany,Berlin,13.397517,52.5286,KOPPS,9
g1973806-d2166106,Italy,Sicily,14.95804,38.040356,Trattoria Da Luciana,9
g190796-d1977290,United Kingdom,Surrey,-0.537359,51.4378,Leftbank Restaurant,9
g188671-d1738470,Belgium,Flanders,3.222364,51.20955,In Den Wittenkop,9
g1096517-d2339846,Wales,North Wales,-3.390556,53.18079,Brookhouse Mill,9
g1548605-d1537274,France,"Provence-Alpes-Cote d'Azur",5.483478,43.886566,Le Sanglier Paresseux,9
g635697-d1088568,Wales,Southern Wales,-3.479817,51.475838,The Red Fox,9
g674222-d2276750,Greece,South Aegean,28.136625,36.391705,Restaurant Skalakia,9
g186306-d1373062,United Kingdom,Hertfordshire,-0.336021,51.754513,The Cock Inn,9
g186273-d2048480,United Kingdom,East Sussex,-0.139866,50.82144,Giggling Squid Brighton,9
g1058829-d2411256,Italy,Emilia-Romagna,11.021822,44.572567,Predio Valli,9
g187472-d1000320,Spain,Canary Islands,-15.43064,28.148664,Tabla Caliente,9
g1936580-d1915550,United Kingdom,Oxfordshire,-1.186933,51.659863,The Chequers at Burcot - Restaurant,9
g187399-d782343,Germany,Saxony,13.73478,51.051945,Sophienkeller,9
g186402-d797841,United Kingdom,West Midlands,-1.907404,52.484894,Pasta Di Piazza,9
g662620-d1783976,Greece,South Aegean,25.327402,37.446014,Fato a Mano,9
g187384-d1006763,Germany,North Rhine-Westphalia,8.754817,51.721447,La Pampa Steakhouse,9
g2213471-d1569363,Italy,Marche,13.209162,43.117474,Il Picciolo di Rame,9
g187061-d2292975,United Kingdom,West Midlands,-1.778333,52.448334,Zengz,9
g187156-d969429,France,Occitanie,2.894516,42.69999,Casa Sansa,9
g950408-d1963605,Italy,Lombardy,10.598032,45.635902,Trattoria la Tana,9
g187281-d1101506,Germany,Baden-Wurttemberg,7.852501,47.995308,Hotel Oberkirch Restaurant,9
g227608-d2225887,France,Hauts-de-France,1.584351,50.522724,A Table,9
g187302-d1187858,Germany,Bavaria,11.084492,47.492752,Restaurant Bollywood Tandoori,9
g194844-d2335785,Italy,Abruzzo,13.51515,42.13445,La Lanterna di Brontolo,9
g186605-d693143,Ireland,Province of Leinster,-6.232179,53.32958,"Roly's Bistro",9
g1820476-d2519814,Italy,Piedmont,7.772494,44.94995,La Locanda del Cont,9
g940891-d2038488,Italy,Trentino-Alto Adige,11.43138,46.898685,Vinzenz Zum Feinen Wein,9
g187850-d1010432,Italy,Lombardy,9.166574,45.193657,Royal Garden,9
g187147-d795241,France,Ile-de-France,2.340658,48.865128,les fines gueules,9
g190454-d1969489,Austria,Vienna Region,16.357248,48.197742,Bangkok-Vienna,9
g196706-d1072029,France,Auvergne-Rhone-Alpes,6.428147,45.906113,La Scierie,9
g1178716-d1208871,Portugal,Madeira Islands,-16.884926,32.823208,Quinta do Furao Restaurant,9
g672717-d1893464,Italy,Umbria,12.671655,42.990215,Enoteca Properzio,9
g187870-d945327,Italy,Veneto,12.345201,45.435623,Osteria Oliva Nera,9
g659633-d1189405,Spain,Canary Islands,-13.499799,28.99256,Oscars Restaurant,9
g187791-d1566743,Italy,Lazio,12.473426,41.893238,La Regola,9
g188590-d1071052,The Netherlands,"",4.884511,52.364075,Puri Mas,9
g187847-d1170383,Italy,Piedmont,8.541071,45.88366,La Botte,9
g580216-d1124655,Italy,Campania,13.893125,40.69729,Da Pasquale,9
g186338-d1539452,United Kingdom,London,-0.137634,51.515377,Golden Union Fish Bar,9
g652121-d1948611,Spain,Canary Islands,-13.828768,28.86369,Los Hervideros Restaurant,9
g12938671-d789952,Italy,Lazio,12.953972,40.89729,A Casa di Assunta,9
g187805-d2225736,Italy,Emilia-Romagna,9.697639,45.04805,Osteria Santo Stefano,9
g608994-d985225,Spain,Asturias,-4.754158,43.420288,Restaurante Siete Puertas CB.,9
g609044-d1548578,Spain,Valencian Country,0.192813,38.77168,Acqua,9
g2100362-d1542749,France,Occitanie,1.222763,44.500725,La Vigne Haute,9
g1068631-d1545097,Spain,Balearic Islands,4.094003,39.9875,Tast,9
g2044633-d2034934,Italy,Lombardy,10.145229,45.636272,Trattoria La Madia,9
g186275-d2442479,United Kingdom,East Sussex,0.007639,50.87221,Shanaz,9
g274887-d951525,Hungary,Central Hungary,19.06118,47.495533,Fausto’s Ristorante,9
g194879-d1924635,Italy,Lazio,12.859507,42.397926,"Cantina Centro d'Italia",9
g1050569-d2164285,Italy,Campania,13.911551,40.700836,Ristorante Bar Di Iorio,9
g191277-d1860294,Northern Ireland,"",-5.667536,54.664474,The Rabbit Rooms,9
g187895-d2410471,Italy,Tuscany,11.240771,43.777008,Hoseki,9
g666974-d1000555,Spain,Balearic Islands,4.129992,40.05519,Es Port,9
g616190-d1743316,Italy,Sicily,14.759954,36.860207,Antica Dolceria Bonajuto,9
g680201-d1587769,United Kingdom,East Anglia,1.454908,52.279305,Sibton White Horse Inn,9
g187151-d1762217,France,Occitanie,2.363564,43.205303,Auberge des Lices,9
g211861-d754215,Ireland,Province of Munster,-10.273372,52.139553,"Murphy's Pub & Bed & Breakfast",9
g1076916-d1807280,Italy,Emilia-Romagna,11.469815,44.507015,Officina del Gusto,9
g1064419-d2102426,Spain,Basque Country,-2.201812,43.306267,asador astillero,9
g187836-d2037522,Italy,Lombardy,9.399461,45.843742,Trattoria Vecchia Pescarenico,9
g187791-d1530208,Italy,Lazio,12.480122,41.896297,Scholars Lounge Irish Pub,9
g191266-d2165866,Scotland,Stirling,-3.92855,56.1182,"Gabe's Diner",9
g580127-d2305194,France,Nouvelle-Aquitaine,1.305567,45.12756,La Mandragore,9
g580312-d1001069,Spain,Balearic Islands,3.128529,39.84135,PIZZERIA DON VITO,9
g187457-d1746600,Spain,Basque Country,-1.987776,43.31567,Restaurante Biarritz,9
g190749-d796839,United Kingdom,Kent,1.182773,51.07915,The British Lion,9
g186326-d805900,United Kingdom,Cumbria,-2.747428,54.33044,Corner 124,9
g187791-d1918332,Italy,Lazio,12.474809,41.889313,Dar Sor Olimpio al Drago,9
g186370-d2175098,United Kingdom,Somerset,-2.360593,51.383793,Cote Brasserie,9
g194868-d1754647,Italy,Tuscany,11.096944,43.882668,Soldano in Duomo,9
g661690-d2429817,United Kingdom,Nottinghamshire,-0.941944,53.32272,No 5 Restaurant,9
g187073-d1328511,France,Grand Est,7.357061,48.076805,"l'Arpege",9
g187791-d1167615,Italy,Lazio,12.476119,41.909054,Enoteca Buccone Vini e Olii,9
g776620-d1157477,United Kingdom,Devon,-3.835019,50.414482,The Turtley Corn Mill,9
g186338-d1017390,United Kingdom,London,-0.107801,51.500538,Masters Superfish,9
g608988-d1173112,Spain,Andalucia,-3.690288,36.73242,Meson Francisco II,9
g187323-d1535909,Germany,Berlin,13.328979,52.501945,Gasthaus Krombach,9
g189117-d1098625,Portugal,Algarve,-8.703612,37.10931,Cachoa Restaurant,9
g187211-d800648,France,"Provence-Alpes-Cote d'Azur",4.630567,43.67641,Le Criquet,9
g189852-d698817,Sweden,"",18.073399,59.3344,Prinsen,9
g194718-d2160513,Italy,Campania,14.477642,40.69391,Maracana Irish Pub,9
g187801-d1072510,Italy,Emilia-Romagna,11.34015,44.495808,Gelateria Gianni,9
g504148-d1495504,United Kingdom,Staffordshire,-1.909081,52.985703,Ramblers Retreat,9
g194710-d2185894,Italy,Veneto,12.88652,45.59796,Antico Petronia,9
g658915-d1541428,Greece,Ionian Islands,20.865435,37.723385,Tasos Taverna,9
g186225-d1399981,United Kingdom,Cambridgeshire,0.117638,52.203922,The Cambridge Chop House,9
g3445239-d1672838,Italy,Tuscany,10.190597,43.974884,"Osteria Perche' No",9
g194715-d1985905,Italy,Tuscany,10.60893,43.16053,Ristorante Da Ugo,9
g1180045-d2438768,Italy,Emilia-Romagna,11.06659,44.88466,La Taverna dei Pico,9
g186363-d1891559,United Kingdom,Berkshire,-1.105525,51.42225,The Spring Inn,9
g187892-d1978081,Italy,Sicily,15.287727,37.852352,Ristorante Taverna al Paladino,9
g190761-d1075810,United Kingdom,West Sussex,-0.365086,50.8121,The Fish Factory,9
g580192-d1553507,Greece,South Aegean,25.376719,37.10152,"Maro's Taverna",9
g187907-d1475237,Italy,Umbria,12.383278,43.11247,Trattoria del Borgo,9
g815421-d2063095,United Kingdom,Leicestershire,-1.372344,52.724915,La Torre,9
g189171-d1792887,Portugal,Northern Portugal,-8.420332,41.563232,Taberna Belga,9
g504057-d1935819,United Kingdom,Nottinghamshire,-1.12941,53.00236,Emilios Greek Restaurant,9
g551747-d2329723,Scotland,Fife,-3.207731,56.253117,The Covenanter Hotel,9
g7940437-d2091217,United Kingdom,Greater London,-0.440355,51.48523,The Pheasant Restaurant,9
g187801-d2223268,Italy,Emilia-Romagna,11.319366,44.495266,Trattoria Bertozzi,9
g186525-d1408946,Scotland,Edinburgh,-3.189512,55.952908,Palm Court,9
g189115-d1188563,Portugal,Algarve,-8.468709,37.09688,Jota Lita Restaurant,9
g499539-d1181842,United Kingdom,Cumbria,-2.954816,54.20093,Cartmel Village Shop,9
g187497-d2490389,Spain,Catalonia,2.183736,41.383484,Bacoa Kiosko,9
g612416-d1324870,France,Corsica,9.160566,41.388783,Kissing Pigs,9
g1931188-d1915655,Italy,Lazio,12.11341,42.62776,Osteria al Forno di Agnese,9
g186609-d2207166,Ireland,Province of Connacht,-9.051136,53.272617,Venice Restaurant,9
g1187206-d2282853,Italy,Calabria,16.502821,38.74125,La Paladina,9
g186470-d1582799,Northern Ireland,Belfast,-5.943798,54.583767,The Jharna,9
g2136941-d2368413,Italy,Piedmont,8.663831,45.501137,Al Caminetto,9
g188671-d694742,Belgium,Flanders,3.23097,51.207226,Park Restaurant,9
g1131509-d1751035,United Kingdom,Yorkshire,-0.721147,54.304558,The Horseshoe Inn,9
g1826730-d2057155,Italy,Lombardy,9.18266,44.819046,Agriturismo La Fuga,9
g187791-d1774521,Italy,Lazio,12.521267,41.909096,Braci e Abbracci,9
g504208-d780015,United Kingdom,Warwickshire,-1.78433,52.168163,The Bell Inn Welford on Avon,9
g194799-d1151920,Italy,Lombardy,10.126731,46.526688,La Pioda,9
g190790-d2369755,Scotland,Scottish Highlands,-3.607849,57.331062,"Maclean's Highland Bakery",9
g189852-d1580290,Sweden,"",18.068981,59.32438,Slingerbulten,9
g187476-d999933,Spain,Canary Islands,-17.786451,28.682154,Restaurante Chipi-Chipi,9
g212092-d1104229,Ireland,Province of Munster,-10.194949,51.83716,Smugglers Inn Restaurant Waterville Co. Kerry,9
g186394-d814063,United Kingdom,Tyne and Wear,-1.581789,54.983555,"Khan's Restaurant",9
g187075-d817707,France,Grand Est,7.742738,48.579197,Ristorante Paradiso,9
g187147-d2154313,France,Ile-de-France,2.339446,48.870598,Le Sâotico,9
g503927-d783408,United Kingdom,Lancashire,-2.265603,53.77611,Usha,9
g187791-d2373386,Italy,Lazio,12.620331,41.93789,Casale del Fornaccio,9
g188671-d1018040,Belgium,Flanders,3.224676,51.20368,Tea-room De Proeverie,9
g4885226-d2216151,Scotland,South Lanarkshire,-4.208283,55.827324,The BISTRO,9
g660766-d2426413,Italy,Tuscany,10.14361,44.03479,Osteria del Borgo,9
g8309764-d866273,France,Auvergne-Rhone-Alpes,5.923353,45.563686,"L'Atelier",9
g190419-d2446998,Austria,Lower Austria,16.232817,48.006214,El Gaucho,9
g187046-d2341562,United Kingdom,Yorkshire,-1.539063,53.995132,Bean and Bud,9
g187828-d1720933,Italy,Liguria,7.599093,43.79185,U Funtanin,9
g196708-d1333434,France,Auvergne-Rhone-Alpes,6.671944,46.15994,"La R'mize",9
g2292179-d2259643,Italy,Piedmont,8.520222,45.900204,Trattoria Imbarcadero,9
g187147-d2093366,France,Ile-de-France,2.306428,48.87168,Le Sens Unique,9
g303808-d1852545,Croatia,Dalmatia,16.442926,43.17264,Giaxa,9
g196508-d1332082,France,Nouvelle-Aquitaine,1.217883,44.88948,Le Presidial,9
g190762-d939127,United Kingdom,West Midlands,-2.198515,52.56273,The Greyhound,9
g580430-d1382950,United Kingdom,Surrey,-0.54319,51.33917,Sands at Bleak House,9
g187830-d2363079,Italy,Lombardy,9.659995,45.690945,Byron Ristorante Pizzeria,9
g3637154-d2042013,Northern Ireland,"",-6.098322,55.017868,Laragh Lodge,9
g187801-d2375181,Italy,Emilia-Romagna,11.287591,44.510086,Osteria Tato e Vino,9
g187828-d2475689,Italy,Liguria,7.608876,43.791763,"Geppy's Bistrot",9
g187801-d1907795,Italy,Emilia-Romagna,11.336714,44.498604,Ristorante Sikelia,9
g1489112-d1673305,Scotland,Scottish Highlands,-4.247883,57.501556,North Kessock Hotel - Restaurant Cuisine,9
g196497-d1931229,France,Grand Est,7.480199,48.4613,La Maison,9
g2661775-d2458267,United Kingdom,Cumbria,-2.895885,54.33401,The Brown Horse Restaurant,9
g551840-d1783847,Scotland,South Lanarkshire,-3.523158,55.624638,Crown Inn,9
g499613-d2252214,United Kingdom,Northamptonshire,-0.694126,52.300858,La Rocca,9
g1052731-d2099006,Italy,Lazio,12.540369,42.141754,Big Alì - Pizza Pasta & Grill,9
g1497224-d1497225,United Kingdom,Cornwall,-4.522861,50.61464,Rising Sun Inn,9
g194791-d2173874,Italy,Puglia,18.169407,40.353127,Arte dei Sapori,9
g187791-d1012247,Italy,Lazio,12.472987,41.88989,Ai Bozzi da Giovanni,9
g504145-d1870089,United Kingdom,Somerset,-3.321108,51.160534,The Bengal Spice,9
g187265-d1085863,France,Auvergne-Rhone-Alpes,4.8527,45.752857,Le Petit Carron,9
g186258-d785361,United Kingdom,Devon,-4.138889,50.368458,Yukisan,9
g635623-d2515775,Italy,Emilia-Romagna,12.71451,43.974216,Paradise,9
g186273-d1010616,United Kingdom,East Sussex,-0.139429,50.821182,"English's of Brighton",9
g2549055-d2196741,United Kingdom,Greater London,-0.024925,51.411133,The Pearl,9
g504150-d1007717,United Kingdom,Staffordshire,-1.633053,52.80385,The Dial Restaurant,9
g503736-d1820379,United Kingdom,East Anglia,1.210489,52.943443,The Bank,9
g187103-d2356006,France,Brittany,-1.673117,48.106895,Il Basilico Restaurant Italien,9
g784072-d941317,Portugal,Alentejo,-8.783416,37.724503,tasca do celso,9
g186430-d1948608,Wales,North Wales,-4.125646,53.22645,Blue Sky Cafe,9
g194951-d1367850,Italy,Tuscany,10.866315,43.400284,Osteria La Pace,9
g194771-d1910845,Italy,Veneto,10.720057,45.57956,Hostaria la Cross,9
g1223668-d1718972,United Kingdom,East Anglia,0.678532,52.13937,The Crown,9
