restaurant_link,restaurant_name,original_location,country,region,province,city,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,original_open_hours_Mon,original_open_hours_Tue,original_open_hours_Wed,original_open_hours_Thu,original_open_hours_Fri,original_open_hours_Sat,original_open_hours_Sun
g635875-d7807050,Joya Canti di Stagione,"[""Europe"", ""Italy"", ""Puglia"", ""Province of Bari"", ""Polignano a Mare""]",Italy,Puglia,Province of Bari,"",40.99608,17.219072,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#1 of 13 Dessert Spots in Polignano a Mare,#1 of 189 places to eat in Polignano a Mare,"Cheap Eats, Dessert, Bar, Vegetarian Friendly","After-hours, Breakfast",Bar,"Vegetarian Friendly, Vegan Options, Gluten Free Options","",Y,Y,Y,7.0,115.5,7.0,5,457.0,English,41.0,37.0,4.0,0.0,0.0,0.0,4.5,4.5,4.5,"",09:30-02:00,09:30-02:00,09:30-02:00,09:30-02:00,09:30-02:00,09:30-02:00,09:30-02:00
g187891-d4560551,Alfio Neri Pasticceria Rosticceria Tavola Calda,"[""Europe"", ""Italy"", ""Sicily"", ""Province of Syracuse"", ""Syracuse""]",Italy,Sicily,Province of Syracuse,"",37.075275,15.283772,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#4 of 44 Dessert Spots in Syracuse,#7 of 733 places to eat in Syracuse,"Cheap Eats, Dessert, Italian, Cafe","Breakfast, Lunch, Brunch","Italian, Cafe, Sicilian, Southern-Italian",Vegetarian Friendly,"",Y,N,N,7.0,94.5,7.0,5,329.0,English,13.0,12.0,1.0,0.0,0.0,0.0,5.0,4.5,4.5,4.0,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30
g194907-d6874680,"Bar L'Archetto - Pizzeria","[""Europe"", ""Italy"", ""Campania"", ""Province of Naples"", ""Sant'Agnello""]",Italy,Campania,Province of Naples,"",40.6254,14.401311,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017","#2 of 54 Restaurants in Sant'Agnello","#2 of 64 places to eat in Sant'Agnello","Cheap Eats, Italian, Bar, Pizza","Lunch, Dinner, Breakfast","Gastropub, Italian, Bar, Pizza, Neapolitan, Campania, Southern-Italian, European","Vegetarian Friendly, Vegan Options","Takeout, Reservations, Seating, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Cash Only, Free Wifi, Accepts Credit Cards, Highchairs Available, Digital Payments, Table Service",Y,Y,N,6.0,80.5,12.0,5,163.0,English,105.0,90.0,14.0,1.0,0.0,0.0,5.0,5.0,5.0,"","07:30-14:00, 15:30-22:30","07:30-14:00, 15:30-22:30","","07:30-14:00, 15:30-22:30","07:30-14:00, 15:30-22:30","07:30-14:00, 15:30-22:30","07:30-14:00, 16:00-22:30"
g670667-d3912070,La San Giorgio,"[""Europe"", ""Italy"", ""Veneto"", ""Province of Verona"", ""Villafranca di Verona""]",Italy,Veneto,Province of Verona,"",45.35389,10.8461,Unclaimed,"Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#1 of 4 Coffee & Tea in Villafranca di Verona,#8 of 95 places to eat in Villafranca di Verona,"Mid-range, Dessert, Cafe",Breakfast,Cafe,"","Takeout, Seating, Wheelchair Accessible, Reservations, Table Service",N,N,N,6.0,65.5,12.0,5,103.0,All languages,103.0,92.0,9.0,0.0,1.0,1.0,5.0,4.5,4.5,"","","07:00-13:00, 15:00-20:00","07:00-13:00, 15:00-20:00","07:00-13:00, 15:00-20:00","07:00-13:00, 15:00-20:00","07:00-13:00, 15:00-20:00","07:00-13:00, 15:00-19:30"
g1957909-d7916158,Rossi&Nero,"[""Europe"", ""Italy"", ""Campania"", ""Province of Benevento"", ""Arpaise""]",Italy,Campania,Province of Benevento,"",41.02049,14.7578,Claimed,Certificate of Excellence 2019,#1 of 3 Restaurants in Arpaise,#1 of 3 places to eat in Arpaise,"Fine Dining, Italian, International, Mediterranean","Lunch, Dinner, Breakfast","Italian, Mediterranean, International","","",N,N,N,7.0,167.88333333333333,7.0,5,86.0,All languages,86.0,74.0,10.0,2.0,0.0,0.0,5.0,5.0,5.0,"",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
g187849-d12947761,DOLCELINO pasticceria,"[""Europe"", ""Italy"", ""Lombardy"", ""Milan""]",Italy,Lombardy,"",Milan,45.459084,9.2109,Claimed,Certificate of Excellence 2019,#45 of 558 Dessert Spots in Milan,#575 of 8632 places to eat in Milan,"Mid-range, Dessert, Vegetarian Friendly",Breakfast,"",Vegetarian Friendly,"Takeout, Free Wifi, Accepts Credit Cards, Seating",Y,N,N,7.0,66.0,7.0,5,60.0,English,8.0,8.0,0.0,0.0,0.0,0.0,5.0,4.5,4.5,"",09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:30-19:30,09:00-15:00
g2081649-d7812034,Pasticceria Simone Vercellina,"[""Europe"", ""Italy"", ""Piedmont"", ""Province of Turin"", ""Villar Dora""]",Italy,Piedmont,Province of Turin,"",45.115353,7.38556,Claimed,Certificate of Excellence 2019,#1 of 1 Dessert Spots in Villar Dora,#4 of 7 places to eat in Villar Dora,"Mid-range, Dessert",Breakfast,"","","Takeout, Wheelchair Accessible, Reservations",N,N,N,6.0,45.0,11.0,5,55.0,All languages,55.0,46.0,7.0,1.0,0.0,1.0,5.0,4.5,4.5,"","",15:30-19:30,"08:30-12:30, 15:30-19:30","08:30-12:30, 15:30-19:30","08:30-12:30, 15:30-19:30","08:30-13:00, 15:30-19:30","08:30-13:00, 15:30-19:30"
g194917-d1889798,La Sciamadda dei Vinaccieri Ballerini,"[""Europe"", ""Italy"", ""Liguria"", ""Italian Riviera"", ""Sestri Levante""]",Italy,Liguria,Italian Riviera,Sestri Levante,44.270027,9.393418,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014, Certificat",#8 of 138 Restaurants in Sestri Levante,#11 of 183 places to eat in Sestri Levante,"Mid-range, Seafood, Mediterranean, Healthy","Breakfast, Lunch, Dinner, After-hours","Seafood, Mediterranean, Healthy, Street Food, Ligurian, Northern-Italian","Vegetarian Friendly, Vegan Options","Delivery, Takeout, Outdoor Seating, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",Y,Y,N,7.0,108.5,7.0,4.5,2724.0,English,149.0,96.0,32.0,9.0,2.0,10.0,4.5,4.5,4.5,4.5,08:30-00:00,08:30-00:00,08:30-00:00,08:30-00:00,08:30-00:00,08:30-00:00,08:30-00:00
g194845-d2734377,Il Granato,"[""Europe"", ""Italy"", ""Campania"", ""Province of Salerno"", ""Capaccio-Paestum"", ""Paestum""]",Italy,Campania,Province of Salerno,"",40.411,15.019928,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014",#1 of 4 Dessert Spots in Paestum,#8 of 82 places to eat in Paestum,"Mid-range, Dessert, Italian, Cafe","Breakfast, Lunch, Brunch","Italian, Cafe, Deli","Vegetarian Friendly, Gluten Free Options","",Y,N,Y,7.0,87.5,7.0,4.5,1416.0,English,29.0,17.0,11.0,1.0,0.0,0.0,4.5,4.0,4.0,4.5,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30
g187780-d4041632,Pasticceria Savoia,"[""Europe"", ""Italy"", ""Campania"", ""Province of Salerno"", ""Amalfi Coast"", ""Amalfi""]",Italy,Campania,Province of Salerno,"",40.633892,14.602673,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#2 of 14 Dessert Spots in Amalfi,#22 of 114 places to eat in Amalfi,"Mid-range, Dessert, Vegetarian Friendly",Breakfast,"",Vegetarian Friendly,"Delivery, Takeout, Reservations, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards",Y,N,N,7.0,112.0,7.0,4.5,534.0,English,161.0,115.0,27.0,9.0,5.0,5.0,4.5,4.5,4.0,4.5,07:30-23:30,07:30-23:30,07:30-23:30,07:30-23:30,07:30-23:30,07:30-23:30,07:30-23:30
